,ISIN,Tickers_YF,sector_T,Name,Ticker,Market,Currency,RICS,sector,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Score,totalEsg,environmentScore,socialScore,governanceScore,TRBC Industry Group Name,TRBC Economic Sector Name
370,DE0007231334,0NW8.IL,"Passenger Transportation, Ground & Sea",SIXT SE,0NW8,,,SIXG_p.DE,"Passenger Transportation, Ground & Sea",30.1992789142321,45.8744356696166,50.1926260808947,42.2563847154392,,,,,Passenger Transportation Services,Industrials
371,SE0000108227,0NWX.IL,Industrial Machinery & Equipment,AB SKF,0NWX,,,SKFb.ST,Industrial Machinery & Equipment,86.6481630978935,83.7255262286004,70.4765604105907,80.9509624889256,23.59,5.21,11.14,7.24,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
372,CH0012221716,0NX2.IL,Heavy Electrical Equipment,ABB LTD,0NX2,,,ABBN.S,Heavy Electrical Equipment,97.7862445763959,89.9604410953982,87.8532189058504,92.0349245728932,17.23,4.09,6.33,6.81,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
373,AT0000606306,0NXR.IL,Banks,RAIFFEISEN BANK INTERNATIONAL AG,0NXR,,,RBIV.VI,Banks,65.3232346827607,88.3895801843841,54.3730158730158,72.8220632800578,17.24,0.68,7.09,9.46,Banking Services,Financials
374,ES0112501012,0NYH.IL,Food Processing,EBRO FOODS SA,0NYH,,,EBRO.MC,Food Processing,72.1807901915394,83.6858701346081,43.6558249556475,69.9218440664797,,,,,Food & Tobacco,Consumer Non-Cyclicals
375,DE0005232805,0NYZ.IL,Business Support Services,BERTRANDT AG,0NYZ,,,BDTG.DE,Business Support Services,61.4971806281571,51.0304382495442,60.4724926060904,56.6617429582821,,,,,Professional & Commercial Services,Industrials
376,AT0000938204,0NZ7.IL,Paper Packaging,MAYR MELNHOF KARTON AG,0NZ7,,,MMKV.VI,Paper Packaging,42.0815072937871,67.3155892243404,63.7222222222222,57.3137328863456,,,,,Containers & Packaging,Basic Materials
377,CZ0005112300,0NZF.IL,Electric Utilities,CEZ AS,0NZF,,,CEZP.PR,Electric Utilities,78.6141791630702,64.4112431521368,70.3703703703703,71.9372727613419,37.02,17.26,13.32,6.45,Electric Utilities & IPPs,Utilities
378,DK0060257814,0NZU.IL,Biotechnology & Medical Research,ZEALAND PHARMA A/S,0NZU,,,ZELA.CO,Biotechnology & Medical Research,23.9130434782608,81.1426841030468,72.6654611211573,63.0533370950416,,,,,Biotechnology & Medical Research,Healthcare
379,DE0005659700,0NZY.IL,Pharmaceuticals,ECKERT & ZIEGLER STRAHLEN UND MEDIZ,0NZY,,,EUZG.DE,Pharmaceuticals,27.2412181246767,51.7215957769634,46.3069920499454,44.4822867907928,,,,,Pharmaceuticals,Healthcare
380,DE0005419105,0O0F.IL,IT Services & Consulting,CANCOM SE,0O0F,,,COKG.DE,IT Services & Consulting,68.5498288723478,70.6277390618861,58.1191534293901,64.5512543213094,,,,,Software & IT Services,Technology
381,DE0005408884,0O0J.IL,Electrical Components & Equipment,LEONI AG,0O0J,,,LEOGn.DE,Electrical Components & Equipment,71.9975759216888,66.9170680279245,58.2784863153975,66.1930885924786,,,,,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
382,DK0010253921,0O0N.IL,Fishing & Farming,SCHOUW & CO A/S,0O0N,,,SCHO.CO,Fishing & Farming,49.3146938959791,64.2568328615117,24.8993369499698,49.6807910919138,,,,,Food & Tobacco,Consumer Non-Cyclicals
383,DE0005190037,0O0V.IL,Auto & Truck Manufacturers,BAYERISCHE MOTOREN WERKE AG,0O0V,,,BMWG_p.DE,Auto & Truck Manufacturers,81.5829997884392,94.0933722206751,94.6918649054553,89.973094589196,,,,,Automobiles & Auto Parts,Consumer Cyclicals
384,DE0005773303,0O1R.IL,Airport Operators & Services,FRAPORT AG FRANKFURT AIRPORT SERVIC,0O1R,,,FRAG.DE,Airport Operators & Services,83.8605405097967,94.1093580609417,69.9723049711413,84.3269642883642,12.84,1.85,5.58,5.41,Transport Infrastructure,Industrials
385,DE000SAFH001,0O4N.IL,"Auto, Truck & Motorcycle Parts",SAF HOLLAND SA,0O4N,,,SFQ.DE,"Auto, Truck & Motorcycle Parts",35.9881867655074,65.7396783524062,92.5344322963919,62.1208418571679,,,,,Automobiles & Auto Parts,Consumer Cyclicals
386,AT0000969985,0O5C.IL,Semiconductors,AT & S AUSTRIA TECHNOLOGIE & SYSTEM,0O5C,,,ATSV.VI,Semiconductors,34.5103187764879,70.6792672037832,35.7857142857142,50.3425682347382,,,,,Semiconductors & Semiconductor Equipment,Technology
387,SE0000163628,0O5H.IL,Advanced Medical Equipment & Technology,ELEKTA AB (PUBL),0O5H,,,EKTAb.ST,Advanced Medical Equipment & Technology,74.016790593804,89.5139006315759,87.0943792326631,86.0462936555735,,,,,Healthcare Equipment & Supplies,Healthcare
388,DK0010244425,0O76.IL,Marine Freight & Logistics,AP MOELLER MAERSK A/S,0O76,,,MAERSKa.CO,Marine Freight & Logistics,74.8873594576719,60.9391239770378,78.4665461121157,70.7292110375632,,,,,Freight & Logistics Services,Industrials
389,DK0010244508,0O77.IL,Marine Freight & Logistics,AP MOELLER - MAERSK A/S,0O77,,,MAERSKb.CO,Marine Freight & Logistics,74.8873594576719,60.9391239770378,78.4665461121157,70.7292110375632,22.65,9.68,6.51,6.45,Freight & Logistics Services,Industrials
390,FI0009000665,0O7A.IL,Paper Products,METSA BOARD OYJ,0O7A,,,METSB.HE,Paper Products,83.2353888080241,71.0897496906824,20.8306348739083,64.5659735721644,,,,,Paper & Forest Products,Basic Materials
391,SE0000108656,0O87.Z,Communications & Networking,TELEFONAKTIEBOLAGET LM ERICSSON,0O87,,,ERICb.ST,Communications & Networking,65.7543432586724,90.8616316250156,92.7717263265843,86.0417916965708,,,,,Communications & Networking,Technology
392,PLKGHM000017,0O8D.IL,Specialty Mining & Metals,KGHM POLSKA MIEDZ SA,0O8D,,,KGH.WA,Specialty Mining & Metals,64.7892900276741,64.2563740812025,38.2813386273397,58.0653589822862,36.64,16.56,11.16,8.92,Metals & Mining,Basic Materials
393,DE0007472060,0O8X.IL,Business Support Services,WIRECARD AG,0O8X,,,WDIG.H,Business Support Services,21.3868003341687,34.5102141163988,50.6710594315245,36.8523820644615,49.81,1.28,14.17,34.36,Professional & Commercial Services,Industrials
394,ES0157097017,0O9B.IL,Pharmaceuticals,ALMIRALL SA,0O9B,,,ALM.MC,Pharmaceuticals,71.7725500620236,70.262972589909,41.9684604770352,61.8399984866419,,,,,Pharmaceuticals,Healthcare
395,DE000A0LD2U1,0O9Q.IL,Commercial REITs,ALSTRIA OFFICE REIT AG,0O9Q,,,AOXG.DE,Commercial REITs,81.6434407937652,91.1613560374933,94.1381802524949,88.5443008631057,,,,,Residential & Commercial REITs,Real Estate
