Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"ALTEA GREEN POWER";IT0005472730;AGP;"Euronext Growth Milan";EUR;3.34;3.34;3.20;3.23;"06/04/2023 17:35";CET;61500;200775.00;-;-
ALTEN;FR0000071946;ATE;"Euronext Paris";EUR;144.10;146.10;143.20;146.10;"06/04/2023 17:35";CET;26764;3891557.00;-;-
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;3.97;3.99;3.75;3.99;"05/04/2023 09:52";CET;3400;13368.70;-;-
ALTHEORA;FR0000061244;ALORA;"Euronext Growth Paris";EUR;0.924;0.924;0.904;0.904;"06/04/2023 17:00";CET;3801;3475.78;-;-
"ALTRI SGPS";PTALT0AE0002;ALTR;"Euronext Lisbon";EUR;4.756;4.83;4.74;4.83;"06/04/2023 21:35";BST;717269;3451801.86;-;-
"ALTUR INVEST.";FR0010395681;ALTUR;"Euronext Paris";EUR;8.85;8.90;8.85;8.85;"06/04/2023 16:03";CET;55;487.25;-;-
"ALUMEXX N.V.";NL0012194724;ALX;"Euronext Amsterdam";EUR;0.66;0.68;0.66;0.66;"06/04/2023 17:13";CET;1920;1279.45;-;-
ALVEEN;FR0013253812;MLALV;"Euronext Access Paris";EUR;0.16;0.16;0.16;0.16;"20/03/2023 11:30";CET;1;0.16;-;-
"AMA CORPORATION";GB00BNKGZC51;ALAMA;"Euronext Growth Paris";EUR;0.311;0.36;0.31;0.342;"06/04/2023 17:35";CET;35514;12017.91;-;-
"AMATHEON AGRI";NL0010273694;MLAAH;"Euronext Access Paris";EUR;0.09;0.09;0.09;0.09;"06/04/2023 11:30";CET;47;4.23;-;-
AMAZON;US0231351067;1AMZN;BITGEM;EUR;93.15;93.15;91.78;92.53;"06/04/2023 17:29";CET;9350;863097.96;-;-
AMAZON;US0231351067;2AMZN;"Euronext After Hours Milan";EUR;92.79;93.29;92.79;93.29;"05/04/2023 20:26";CET;69;6405.55;-;-
AMBROMOBILIARE;IT0004779515;AMB;"Euronext Growth Milan";EUR;1.34;1.44;1.32;1.44;"03/04/2023 17:35";CET;7800;10470.00;-;-
AMG;NL0000888691;AMG;"Euronext Amsterdam";EUR;35.77;36.14;35.01;35.34;"06/04/2023 17:35";CET;220654;7815556.60;-;-
AMGEN;US0311621009;2AMGN;"Euronext After Hours Milan";EUR;216.00;216.00;216.00;216.00;"03/03/2023 00:00";CET;8;1728.00;-;-
AMGEN;US0311621009;1AMGN;BITGEM;EUR;230.40;234.00;230.40;233.00;"06/04/2023 16:08";CET;116;26992.60;-;-
AMOEBA;FR0011051598;ALMIB;"Euronext Growth Paris";EUR;0.64;0.655;0.624;0.644;"06/04/2023 17:35";CET;120175;77314.99;-;-
AMPLIFON;IT0004056880;AMP;"Euronext Milan";EUR;32.68;32.80;32.36;32.64;"06/04/2023 17:35";CET;320417;10448363.82;-;-
