,ISIN,Name,sector_T,Market,Currency,Ticker,RICS,Tickers_YF,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,totalEsg,environmentScore,socialScore,governanceScore,Company Market Cap,CO2 Equivalent Emissions Total,Market Cap Category,Revenue from Business Activities - Total,carbon intensity,Total CO2 Equivalent Emissions To Revenues USD in million,TRBC Industry Group Name,TRBC Economic Sector Name
123,NL0012169213,QIAGEN NV,Biotechnology & Medical Research,,,0RLT,QGEN.N,0RLT.IL,85.1295296934725,85.1469861660079,91.9565799287181,78.8976907196697,15.51,1.63,6.52,7.36,10520544064.8,20876.0,Large Cap,2141518000.0,9.74822532427932,9.27138200261141,Biotechnology & Medical Research,Healthcare
126,SE0017486889,ATLAS COPCO AB,Industrial Machinery & Equipment,,,0XXT,ATCOa.ST,0XXT.IL,84.9485597871885,85.5338288866548,90.4715771719505,77.0049474078077,18.36,4.55,7.17,6.65,623576702992.0,215000.0,Large Cap,,,15.8335051698235,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
127,IE00BK9ZQ967,TRANE TECHNOLOGIES PLC,Electrical Components & Equipment,,,0Y2S,TT.N,0Y2S.IL,81.3768264926707,68.6168301107632,93.6203081510744,80.6362573099415,16.12,7.11,3.84,5.16,40427107468.0,394896.0,Large Cap,15991700000.0,24.69380991389283,27.9346934155796,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
140,FR0010220475,ALSTOM,Heavy Machinery & Vehicles,Euronext Paris,EUR,ALO,ALSO.PA,ALO.PA,91.6884931700771,99.1602928733039,89.4487685658171,85.6588613406795,19.03,3.4,8.93,6.7,8503134696.9,232000.0,Mid Cap,15471000000.0,14.99579859091203,13.5524309673047,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
154,FR0000125486,VINCI,Construction & Engineering,Euronext Paris,EUR,DG,SGEF.PA,DG,83.1650005466664,94.7360925100743,70.6727373468202,84.1770344287949,17.36,3.27,8.56,5.53,64638430630.28,2300699.0,Large Cap,62265000000.0,36.95011643780615,40.4913630003783,Construction & Engineering,Industrials
155,GB0002374006,DIAGEO,Distillers & Wineries,Euronext Paris,EUR,DGE,DGE.L,DGE.L,79.8929636605901,79.6899578149578,94.7658667512298,52.7869544364508,16.69,4.7,6.99,4.99,82205253208.61,712260.0,Large Cap,15452000000.0,46.09500388299249,37.8603929239666,Beverages,Consumer Non-Cyclicals
161,ES0127797019,EDP RENOVAVEIS,Independent Power Producers,Euronext Lisbon,EUR,EDPR,EDPR.LS,EDPR.LS,80.1706193454155,90.9259491174047,73.3678383083353,70.7301740812379,15.61,1.63,8.32,5.66,20311453364.96,32355.0,Large Cap,,,12.7483776403976,Electric Utilities & IPPs,Utilities
162,FR0012435121,ELIS,Business Support Services,Euronext Paris,EUR,ELIS,ELIS.PA,ELISA.HE,80.8286481790181,78.9053572274243,76.2835400700661,87.9825899843505,17.77,3.25,8.9,5.61,4129949164.3,468200.0,Mid Cap,3820900000.0,122.536575152451,135.110567308552,Professional & Commercial Services,Industrials
169,IT0000062072,ASSICURAZ.GEN.ORD.,Life & Health Insurance,Traded not listed Brussels,EUR,GEN,GASI.MI,GEN,93.4473912136904,95.8960829493087,89.7653795479882,96.9268409118033,14.98,0.7,9.47,4.81,29462623205.595,71488.0,Large Cap,79303000000.0,0.901453917254076,0.641286016721088,Insurance,Financials
170,FR0010040865,GECINA,Diversified REITs,Euronext Paris,EUR,GFC,GFCP.PA,GFC.PA,88.7458180834545,92.5452473636177,90.1069587351265,83.0351907558611,10.38,1.47,5.06,3.85,7562709050.4,11251.0,Mid Cap,625857000.0,17.976950006151565,14.0009905598156,Residential & Commercial REITs,Real Estate
182,PTJMT0AE0001,"J.MARTINS,SGPS",Food Retail & Distribution,Euronext Lisbon,EUR,JMT,JMT.LS,JMT.LS,84.7186030202911,93.1856295316861,90.0636144998693,69.4226579520697,14.48,2.82,5.64,6.01,13882208433.2,1049566.0,Large Cap,25385000000.0,41.34591294071302,44.1985800072431,Food & Drug Retailing,Consumer Non-Cyclicals
187,FR0010307819,LEGRAND,Electrical Components & Equipment,Euronext Paris,EUR,LR,LEGD.PA,LRCX,87.4383090506755,86.1522885422271,84.387849524846,92.9810250391236,13.45,4.5,3.97,4.98,22348654404.96,139000.0,Large Cap,8339400000.0,16.667865793702184,17.4820557388306,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
192,PTCOR0AE0006,CORTICEIRA AMORIM,Forest & Wood Products,Euronext Lisbon,EUR,COR,CORA.LS,NVDA,77.5193580641712,77.4054398473903,84.9595600392473,68.3115468409586,13.45,2.26,5.16,6.03,1345960000.0,75740.0,Small Cap,837820000.0,90.40127951111216,79.5225705928179,Paper & Forest Products,Basic Materials
194,NO0003733800,ORKLA,Food Processing,Oslo Børs,NOK,ORK,ORK.OL,ORK.OL,90.8536293295719,97.9403578071655,89.9594480182791,84.6031746031746,19.05,6.65,7.31,5.09,74045805921.8,172580.0,Large Cap,58391000000.0,2.955592471442517,30.1314519071787,Food & Tobacco,Consumer Non-Cyclicals
208,GB00B5ZN1N88,SEGRO PLC,Commercial REITs,Euronext Paris,EUR,SGRO,SGRO.L,SGRO.L,78.2619742887889,73.8077957450704,76.8467968770811,84.7872102707863,10.29,2.29,2.19,5.8,9355642665.752,3891.0,Mid Cap,669000000.0,5.816143497757848,5.26748280385496,Residential & Commercial REITs,Real Estate
209,IE00B1RR8406,SMURFIT KAPPA GP,Paper Packaging,Euronext Dublin,EUR,SK3,SKG.I,SK3.IR,84.9323127052796,78.1884206128381,86.4856310115471,92.6409356725146,11.11,7.63,0.66,2.83,8967341614.14,3053000.0,Mid Cap,12815000000.0,238.2364416699181,265.718562874251,Containers & Packaging,Basic Materials
216,FR0000051807,TELEPERFORMANCE,Business Support Services,Euronext Paris,EUR,TEP,TEPRF.PA,TEP.PA,80.1676454755561,65.1613066627643,85.2909801662456,84.1255994286297,16.43,0.02,10.38,6.02,12651860188.0,141866.0,Large Cap,8154000000.0,17.39833210694138,16.2570862473801,Professional & Commercial Services,Industrials
220,GB00B2B0DG97,RELX,Professional Information Services,Euronext Amsterdam,EUR,REN,REL.L,URI,84.6614176785586,81.9308907815944,83.9520500961681,87.4792006394884,18.45,5.89,6.57,5.99,50064677215.77,42481.0,Large Cap,8553000000.0,4.966795276511165,4.10579320743046,Professional & Commercial Services,Industrials
221,FR0013326246,UNIBAIL-RODAMCO-WE,Commercial REITs,"Euronext Amsterdam, Paris",EUR,URW,URW.AS,URW.AS,89.7669501447444,88.055818770671,94.8900513729526,86.9532472613458,4.67,0.05,1.14,3.49,6943533336.36,137144.0,Mid Cap,3003800000.0,45.65683467607697,47.8789550305649,Residential & Commercial REITs,Real Estate
